outcome_dataset	status	n_overlap	ncase	ncontrol	s	nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	overlap_file	snp_posterior_file
Sakaue2021_BBJ_Myocarditis	ok	5192	102	177745	0.000573526683047788	5192	5.78321492718424e-82	0.628665310605573	2.84752147180443e-82	0.309478424195998	0.0618562651984347	/home/data1/wenhuai/AHR_myocarditis_gwas/data/coloc/AHR_eqtlgen_Sakaue2021_BBJ_Myocarditis_coloc_overlap.tsv.gz	/home/data1/wenhuai/AHR_myocarditis_gwas/results/coloc/AHR_eqtlgen_Sakaue2021_BBJ_Myocarditis_coloc_snp_posterior.tsv
Sakaue2021_EUR_Myocarditis	ok	7383	633	427278	0.00147927956981709	7383	1.07201108882778e-175	0.596062835808026	6.39749849402869e-176	0.355667369172704	0.0482697950192621	/home/data1/wenhuai/AHR_myocarditis_gwas/data/coloc/AHR_eqtlgen_Sakaue2021_EUR_Myocarditis_coloc_overlap.tsv.gz	/home/data1/wenhuai/AHR_myocarditis_gwas/results/coloc/AHR_eqtlgen_Sakaue2021_EUR_Myocarditis_coloc_snp_posterior.tsv
FinnGen_R12_I9_MYOCARD	ok	7171	2062	252810	0.00809033554097743	7171	1.26457318984651e-175	0.695558431860181	5.15644058682314e-176	0.28360099779762	0.0208405703421851	/home/data1/wenhuai/AHR_myocarditis_gwas/data/coloc/AHR_eqtlgen_FinnGen_R12_I9_MYOCARD_coloc_overlap.tsv.gz	/home/data1/wenhuai/AHR_myocarditis_gwas/results/coloc/AHR_eqtlgen_FinnGen_R12_I9_MYOCARD_coloc_snp_posterior.tsv
