file_key	path	size_bytes	sha256	file_type
eqtlgen_significant_FDR0.05	/home/data1/wenhuai/AHR_myocarditis_gwas/data/raw/exposure/eqtlgen/2019-12-11-cis-eQTLsFDR0.05-ProbeLevel-CohortInfoRemoved-BonferroniAdded.txt.gz	322775879	8d963046d7b74cf3533c3510614cdc724e7ad0e325a3d2f7cca63ad13661b4c4	gzip compressed data, was "2019-12-11-cis-eQTLsFDR0.05-ProbeLevel-CohortInfoRemoved-BonferroniAdded.txt", last modified: Sun Dec 22 14:19:58 2019, from Unix, original size modulo 2^32 1134455368
eqtlgen_full_cis_eQTL	/home/data1/wenhuai/AHR_myocarditis_gwas/data/raw/exposure/eqtlgen/2019-12-11-cis-eQTLsFDR-ProbeLevel-CohortInfoRemoved-BonferroniAdded.txt.gz	3880187026	1133a89fe33b795dde7e480e39841fbd0787bfdb5d18ef19058fa749a936f814	gzip compressed data, was "2019-12-11-cis-eQTLsFDR-ProbeLevel-CohortInfoRemoved-BonferroniAdded.txt", last modified: Sun Dec 22 13:00:47 2019, max compression, original size modulo 2^32 996408183
eqtlgen_allele_frequency	/home/data1/wenhuai/AHR_myocarditis_gwas/data/raw/exposure/eqtlgen/2018-07-18_SNP_AF_for_AlleleB_combined_allele_counts_and_MAF_pos_added.txt.gz	240045342	edffd43094598d08db6b423f7b3ce68b000a02f0b993ea4cfcf1f61a8175485d	gzip compressed data, was "2018-07-18_SNP_AF_for_AlleleB_combined_allele_counts_and_MAF_pos_added.txt", last modified: Mon Oct  1 08:13:17 2018, from Unix, original size modulo 2^32 626305796
