id.exposure	id.outcome	outcome	exposure	egger_intercept	se	pval
ebi-met1400-GCST90199636	finngen_R10_I9_MYOCARD	Myocarditis	Kynurenine levels	-0.035200148212951	0.07063406777806	0.652484999567518
ebi-met1400-GCST90200661	finngen_R10_I9_MYOCARD	Myocarditis	X-25422 levels	-0.00819890451520347	0.0462961884829794	0.868038216316303
ebi-met1400-GCST90199813	finngen_R10_I9_MYOCARD	Myocarditis	Deoxycarnitine levels	0.0253658080749554	0.0350917380620691	0.522033227767179
ebi-met1400-GCST90200680	finngen_R10_I9_MYOCARD	Myocarditis	5-acetylamino-6-formylamino-3-methyluracil levels	-0.00496507365063329	0.0370146005496558	0.905573739068572
ebi-met1400-GCST90199772	finngen_R10_I9_MYOCARD	Myocarditis	1-stearoyl-GPE (18:0) levels	0.0144933330807735	0.0532290216764288	0.79629102282161
