sample_id	group	stage	stage_order	score	threshold_level	threshold	n_bins	n_hotspot_bins	hotspot_fraction	hotspot_mean_score
CVB3d2	CVB3_myocarditis	day2	2	Kyn_AHR_myeloid_score_expr	control_q90	0.8336501514140824	29905	2992	0.100050158836315	1.448338996513277
CVB3d2	CVB3_myocarditis	day2	2	Kyn_AHR_myeloid_score_expr	control_q95	1.29531375666958	29905	1416	0.047349941481357634	1.8993163303842948
CVB3d2	CVB3_myocarditis	day2	2	Kyn_AHR_myeloid_score_expr	control_q99	2.215933295130221	29905	306	0.010232402608259488	2.879716110214839
CVB3d2	CVB3_myocarditis	day2	2	Kyn_AHR_myeloid_score_z	control_q90	0.19353895187377934	29905	3668	0.12265507440227387	0.4133062004563658
CVB3d2	CVB3_myocarditis	day2	2	Kyn_AHR_myeloid_score_z	control_q95	0.34967803061008423	29905	1623	0.05427186089282729	0.6082425037615842
CVB3d2	CVB3_myocarditis	day2	2	Kyn_AHR_myeloid_score_z	control_q99	0.8090997970104206	29905	253	0.008460123725129578	1.2170686149314458
CVB3d3	CVB3_myocarditis	day3	3	KYN_metabolism_score_expr	control_q90	0.0	31416	440	0.014005602240896359	0.21899378707801753
CVB3d3	CVB3_myocarditis	day3	3	KYN_metabolism_score_expr	control_q95	0.0	31416	440	0.014005602240896359	0.21899378707801753
CVB3d3	CVB3_myocarditis	day3	3	KYN_metabolism_score_expr	control_q99	0.0	31416	440	0.014005602240896359	0.21899378707801753
CVB3d3	CVB3_myocarditis	day3	3	AHR_response_score_expr	control_q90	0.2275528907775879	31416	5449	0.17344665138782786	0.34647803930683646
CVB3d3	CVB3_myocarditis	day3	3	AHR_response_score_expr	control_q95	0.2783159330487248	31416	3747	0.11927043544690603	0.3902200441663349
CVB3d3	CVB3_myocarditis	day3	3	AHR_response_score_expr	control_q99	0.4071645021438584	31416	1186	0.03775146422205246	0.513057031604331
CVB3d3	CVB3_myocarditis	day3	3	AHR_regulon_proxy_score_expr	control_q90	0.23245754837989807	31416	7107	0.22622230710466004	0.3463224167455278
CVB3d3	CVB3_myocarditis	day3	3	AHR_regulon_proxy_score_expr	control_q95	0.30866452008485784	31416	3912	0.12452253628724216	0.4109867286538907
CVB3d3	CVB3_myocarditis	day3	3	AHR_regulon_proxy_score_expr	control_q99	0.4457379820942871	31416	1077	0.034281894576012224	0.5314812009381052
CVB3d3	CVB3_myocarditis	day3	3	myeloid_inflammation_score_expr	control_q90	0.25316372513771057	31416	10030	0.31926406926406925	0.42184331271489145
CVB3d3	CVB3_myocarditis	day3	3	myeloid_inflammation_score_expr	control_q95	0.3147238790988922	31416	7174	0.22835497835497837	0.4770312873282604
