sample_id	group	stage	stage_order	score	n_bins	mean	median	q75	q90	q95	q99	top5_mean	top1_mean	max
CVB3d1	CVB3_myocarditis	day1	1	KYN_metabolism_score_expr	34698	0.0032862753401356297	0.0	0.0	0.0	0.0	0.1969896620512006	0.0032862753401356297	0.25381236091814396	0.49618858098983765
CVB3d1	CVB3_myocarditis	day1	1	AHR_response_score_expr	34698	0.038065820419621386	0.0	0.0	0.20997664332389832	0.27085862606763844	0.3950018960237501	0.3521131412268372	0.4918011920768177	0.8553391695022583
CVB3d1	CVB3_myocarditis	day1	1	AHR_regulon_proxy_score_expr	34698	0.14127873397040444	0.1452951282262802	0.22948728129267693	0.34734768867492677	0.4131134778261185	0.5494453066587444	0.49463077173796444	0.620067472588432	0.9315731525421143
CVB3d1	CVB3_myocarditis	day1	1	myeloid_inflammation_score_expr	34698	0.16538681082212345	0.17407217621803284	0.2765120565891266	0.4091840982437134	0.5043435871601107	0.6837096142768859	0.621798981747641	0.8310660393506031	1.6721010208129883
CVB3d1	CVB3_myocarditis	day1	1	Kyn_AHR_axis_score_expr	34698	3.27646658947536e-17	-0.1466784767588614	0.13546780406109676	0.9067290133443211	1.3578496678526977	2.537828605782767	2.0610038894534357	3.228086653043275	5.5044131155824365
CVB3d1	CVB3_myocarditis	day1	1	Kyn_AHR_myeloid_score_expr	34698	1.63823329473768e-17	-0.05942719078026612	0.31462734962654726	0.8568599354754555	1.2290040432651843	2.0999190925040256	1.76229613395918	2.6042460361258453	4.787301763246474
CVB3d1	CVB3_myocarditis	day1	1	Kyn_AHR_myeloid_score_z	34698	8.270669468913177e-08	-0.055129699409008026	0.053720095194876194	0.22259130477905273	0.36491356492042565	0.8127883017063099	0.647127508412864	1.1456839897447086	4.645997524261475
CVB3d2	CVB3_myocarditis	day2	2	KYN_metabolism_score_expr	29905	0.0019986090069529882	0.0	0.0	0.0	0.0	0.0	0.0019986090069529882	0.0019986090069529882	0.41351237893104553
CVB3d2	CVB3_myocarditis	day2	2	AHR_response_score_expr	29905	0.031072341888031818	0.0	0.0	0.19247157871723175	0.24195082485675812	0.3608704316616056	0.3218508863058899	0.4503554961085319	0.8689353466033936
CVB3d2	CVB3_myocarditis	day2	2	AHR_regulon_proxy_score_expr	29905	0.07187919182520092	0.0	0.14278696477413177	0.22202026844024667	0.29361990690231315	0.4159979248046873	0.3725564018648895	0.4884393225113551	0.871493935585022
CVB3d2	CVB3_myocarditis	day2	2	myeloid_inflammation_score_expr	29905	0.09813383672124186	0.0	0.18658609688282013	0.29968082308769234	0.40474653244018555	0.621358840465545	0.5396099202061145	0.7650881914297739	1.3368645906448364
CVB3d2	CVB3_myocarditis	day2	2	Kyn_AHR_axis_score_expr	29905	-3.3263996992614623e-18	-0.3680531961417184	0.12431616150439052	0.8735931996363142	1.3988995161741726	2.706257907510636	2.1702806140397395	3.634461382790195	7.424923945872379
CVB3d2	CVB3_myocarditis	day2	2	Kyn_AHR_myeloid_score_expr	29905	5.702399484448221e-17	-0.4360901200026036	0.35594300520121774	0.8339808541616043	1.259730247921723	2.2208096483564237	1.8660706784850758	2.892949406551665	6.916098231963099
CVB3d2	CVB3_myocarditis	day2	2	Kyn_AHR_myeloid_score_z	29905	1.6288568674172673e-08	-0.11512841284275055	0.04859184846282005	0.2307810008525849	0.36500952243804907	0.7616646814346312	0.6295058485618569	1.1492447199424107	8.014284133911133
CVB3d3	CVB3_myocarditis	day3	3	KYN_metabolism_score_expr	31416	0.0030671398750422626	0.0	0.0	0.0	0.0	0.17140988335013344	0.0030671398750422626	0.2465130655538468	0.5063828229904175
CVB3d3	CVB3_myocarditis	day3	3	AHR_response_score_expr	31416	0.08638158801545585	0.0	0.17742643877863884	0.3006207197904587	0.3784922733902931	0.5536788702011108	0.483627080955299	0.6459700987686084	1.061000108718872
CVB3d3	CVB3_myocarditis	day3	3	AHR_regulon_proxy_score_expr	31416	0.12850068063198428	0.11514943465590477	0.22005698084831238	0.33435627818107605	0.4079713448882103	0.5497337877750396	0.49797784529014577	0.6342880048449078	0.9661332368850708
CVB3d3	CVB3_myocarditis	day3	3	myeloid_inflammation_score_expr	31416	0.17958332592232978	0.16062456369400024	0.2989106774330139	0.4602764844894409	0.5652469247579575	0.7734915047883987	0.6953718170931504	0.906560028166998	1.7266533374786377
CVB3d3	CVB3_myocarditis	day3	3	Kyn_AHR_axis_score_expr	31416	-6.513760755631171e-17	-0.23384293143661886	0.3620171462913563	0.9281901203323819	1.3249640331345214	2.4436761796455175	2.006363623570964	3.1761893488321977	5.981912179366877
CVB3d3	CVB3_myocarditis	day3	3	Kyn_AHR_myeloid_score_expr	31416	1.44750239014026e-17	-0.10661019126596838	0.3661461849416264	0.8716723524183071	1.2108202600157114	2.0226260065228803	1.707858110464813	2.5460992053494667	4.540870623026873
CVB3d3	CVB3_myocarditis	day3	3	Kyn_AHR_myeloid_score_z	31416	6.625023432149971e-09	-0.04750516638159752	0.08616157062351704	0.2500954866409302	0.36667416989803314	0.6883379489183421	0.5971593567324929	1.044980505723802	5.41124963760376
CVB3d4	CVB3_myocarditis	day4	4	KYN_metabolism_score_expr	30363	0.0032871772344022173	0.0	0.0	0.0	0.0	0.17483238965272946	0.0032871772344022173	0.2359540135060486	0.4468735456466675
CVB3d4	CVB3_myocarditis	day4	4	AHR_response_score_expr	30363	0.07845280671749442	0.0	0.1674879491329193	0.26432567238807675	0.3372974097728729	0.5033751046657565	0.4407042669034318	0.5965899683927235	1.0316696166992188
CVB3d4	CVB3_myocarditis	day4	4	AHR_regulon_proxy_score_expr	30363	0.11691422361235305	0.11091917008161545	0.1916840374469757	0.29974061250686646	0.36590396165847733	0.5039445412158966	0.44972936441193606	0.5741461595814479	0.9772469401359558
CVB3d4	CVB3_myocarditis	day4	4	myeloid_inflammation_score_expr	30363	0.1525919987299477	0.1427813470363617	0.24508678913116455	0.39245397448539726	0.4865405082702636	0.6868837225437169	0.6158492955783231	0.8308471760859615	1.3576395511627197
CVB3d4	CVB3_myocarditis	day4	4	Kyn_AHR_axis_score_expr	30363	-5.990809220254442e-17	-0.2185083078652813	0.35190419205906287	0.9168220336794817	1.3468112072835379	2.4485123967409868	2.048730041845741	3.22867629010446	6.915574280843264
CVB3d4	CVB3_myocarditis	day4	4	Kyn_AHR_myeloid_score_expr	30363	-2.6209790338613187e-17	-0.10080528755546476	0.34097691828873233	0.8612369785421342	1.2306929449863189	2.066487260546138	1.7571306382497087	2.590914125523181	5.766671018339363
CVB3d4	CVB3_myocarditis	day4	4	Kyn_AHR_myeloid_score_z	30363	-3.14942534373859e-08	-0.0494132824242115	0.0838378518819809	0.23957580924034116	0.36407113671302793	0.732043092250824	0.6068855998467426	1.091986677560367	4.937572956085205
CVB3d5	CVB3_myocarditis	day5	5	KYN_metabolism_score_expr	21462	0.0019018100467863314	0.0	0.0	0.0	0.0	0.0	0.0019018100467863314	0.0019018100467863314	0.5914897918701172
CVB3d5	CVB3_myocarditis	day5	5	AHR_response_score_expr	21462	0.062368648055728754	0.0	0.0	0.2745882481336594	0.3394118055701256	0.5253798586130138	0.4501345400148708	0.632783573727275	1.0773868560791016
