metric	score	n_days	mean_delta_CVB3_minus_IVIG	median_delta_CVB3_minus_IVIG	n_positive_days	wilcoxon_p_value
q99	Kyn_AHR_myeloid_score_z	7	-0.04905258791787089	-0.049853309392917766	1	0.046875
q99	myeloid_inflammation_score_expr	7	0.13571315595081937	0.10821995258331363	6	0.15625
top1_mean	AHR_regulon_proxy_score_expr	7	0.05695252444151627	0.06530790952157495	6	0.03125
top1_mean	AHR_response_score_expr	7	0.09342910835474846	0.10323331701128108	6	0.03125
top1_mean	KYN_metabolism_score_expr	7	-0.06922972800829578	-0.02102690187235262	3	0.375
top1_mean	Kyn_AHR_axis_score_expr	7	0.23362745602544127	0.18064931003785656	5	0.15625
top1_mean	Kyn_AHR_myeloid_score_expr	7	0.09176131463958795	0.07047148481045529	4	0.375
top1_mean	Kyn_AHR_myeloid_score_z	7	0.009812040846458116	0.019714480256180167	4	0.6875
top1_mean	myeloid_inflammation_score_expr	7	0.15138876414601696	0.1210009826986187	5	0.15625
top5_mean	AHR_regulon_proxy_score_expr	7	0.04458891574035146	0.04625603804505163	6	0.046875
top5_mean	AHR_response_score_expr	7	0.0777717697208483	0.09859357237918415	6	0.03125
top5_mean	KYN_metabolism_score_expr	7	-0.0013571885578523054	-0.0012211265723481492	1	0.03125
top5_mean	Kyn_AHR_axis_score_expr	7	0.017011870090602184	0.029458483239168665	4	0.8125
top5_mean	Kyn_AHR_myeloid_score_expr	7	0.0007779709727184146	0.012279451895854443	4	0.9375
top5_mean	Kyn_AHR_myeloid_score_z	7	-0.01873114596686996	-0.021376763026050294	2	0.078125
top5_mean	myeloid_inflammation_score_expr	7	0.12446244135970465	0.09767731782898559	6	0.15625
