dataset	claim	cell_type_v0	score	positive_group	negative_group	positive_mean	negative_mean	diff_positive_minus_negative	direction_flag
CNP0005824	CVB3_myocarditis > IVIG_treated	CD16_Monocyte	KYN_metabolism_score	CVB3_myocarditis	IVIG_treated	0.0019415071422070832	0.010633379562197743	-0.00869187241999066	opposes_expected_direction
CNP0005824	CVB3_myocarditis > IVIG_treated	DC	Kyn_AHR_myeloid_score	CVB3_myocarditis	IVIG_treated	0.11651029307176407	-0.21751575557119618	0.33402604864296026	supports_expected_direction
CNP0005824	CVB3_myocarditis > IVIG_treated	DC	Kyn_AHR_axis_score	CVB3_myocarditis	IVIG_treated	0.05771067809220896	-0.1589932170372996	0.21670389512950855	supports_expected_direction
CNP0005824	CVB3_myocarditis > IVIG_treated	DC	myeloid_inflammation_score	CVB3_myocarditis	IVIG_treated	0.1068176653012441	-0.07067630590989214	0.17749397121113625	supports_expected_direction
CNP0005824	CVB3_myocarditis > IVIG_treated	DC	AHR_response_score	CVB3_myocarditis	IVIG_treated	-0.027258172129717515	-0.07108303898688648	0.043824866857168965	supports_expected_direction
CNP0005824	CVB3_myocarditis > IVIG_treated	DC	KYN_metabolism_score	CVB3_myocarditis	IVIG_treated	-0.0007033474320342167	0.000430533799200043	-0.0011338812312342596	opposes_expected_direction
CNP0005824	CVB3_myocarditis > IVIG_treated	pDC	Kyn_AHR_myeloid_score	CVB3_myocarditis	IVIG_treated	0.19475588262055743	-0.1715108529370774	0.36626673555763484	supports_expected_direction
CNP0005824	CVB3_myocarditis > IVIG_treated	pDC	Kyn_AHR_axis_score	CVB3_myocarditis	IVIG_treated	0.16958173448403135	-0.09265962665553336	0.2622413611395647	supports_expected_direction
CNP0005824	CVB3_myocarditis > IVIG_treated	pDC	myeloid_inflammation_score	CVB3_myocarditis	IVIG_treated	0.10096216038122237	-0.07455253728882894	0.1755146976700513	supports_expected_direction
CNP0005824	CVB3_myocarditis > IVIG_treated	pDC	AHR_response_score	CVB3_myocarditis	IVIG_treated	-0.0022098824389558155	-0.048203222374980245	0.04599333993602443	supports_expected_direction
CNP0005824	CVB3_myocarditis > IVIG_treated	pDC	KYN_metabolism_score	CVB3_myocarditis	IVIG_treated	-0.0018483156392974664	-0.004461545726844743	0.002613230087547277	supports_expected_direction
GSE166489	MIS-C > pediatric_healthy	Monocyte	Kyn_AHR_myeloid_score	MIS-C	pediatric_healthy	0.6550808797791168	1.7359113106292254	-1.0808304308501087	opposes_expected_direction
GSE166489	MIS-C > pediatric_healthy	Monocyte	Kyn_AHR_axis_score	MIS-C	pediatric_healthy	0.3509096562954279	1.6253433028491624	-1.2744336465537345	opposes_expected_direction
GSE166489	MIS-C > pediatric_healthy	Monocyte	myeloid_inflammation_score	MIS-C	pediatric_healthy	1.053863503639576	1.3372738301970866	-0.28341032655751053	opposes_expected_direction
GSE166489	MIS-C > pediatric_healthy	Monocyte	AHR_response_score	MIS-C	pediatric_healthy	0.0449354397577415	0.18918987048116268	-0.14425443072342117	opposes_expected_direction
GSE166489	MIS-C > pediatric_healthy	Monocyte	KYN_metabolism_score	MIS-C	pediatric_healthy	0.0157461581596215	0.06622327125739384	-0.05047711309777234	opposes_expected_direction
GSE166489	MIS-C > pediatric_healthy	CD16_Monocyte	Kyn_AHR_myeloid_score	MIS-C	pediatric_healthy	0.1233154293602857	0.987649780413646	-0.8643343510533603	opposes_expected_direction
GSE166489	MIS-C > pediatric_healthy	CD16_Monocyte	Kyn_AHR_axis_score	MIS-C	pediatric_healthy	0.08052765456792875	1.0841366128185934	-1.0036089582506647	opposes_expected_direction
GSE166489	MIS-C > pediatric_healthy	CD16_Monocyte	myeloid_inflammation_score	MIS-C	pediatric_healthy	0.30800625583222413	0.5610871258306825	-0.2530808699984584	opposes_expected_direction
GSE166489	MIS-C > pediatric_healthy	CD16_Monocyte	AHR_response_score	MIS-C	pediatric_healthy	-0.00968518412275495	0.06075070943225264	-0.0704358935550076	opposes_expected_direction
GSE166489	MIS-C > pediatric_healthy	CD16_Monocyte	KYN_metabolism_score	MIS-C	pediatric_healthy	0.0178509853137213	0.09057302517328591	-0.07272203985956462	opposes_expected_direction
GSE166489	MIS-C > pediatric_healthy	DC	Kyn_AHR_myeloid_score	MIS-C	pediatric_healthy	0.07053726084325765	0.9108684174243434	-0.8403311565810858	opposes_expected_direction
GSE166489	MIS-C > pediatric_healthy	DC	Kyn_AHR_axis_score	MIS-C	pediatric_healthy	0.1622750941242348	1.1263194572190451	-0.9640443630948103	opposes_expected_direction
GSE166489	MIS-C > pediatric_healthy	DC	myeloid_inflammation_score	MIS-C	pediatric_healthy	0.04934557266909666	0.31528197182455586	-0.2659363991554592	opposes_expected_direction
GSE166489	MIS-C > pediatric_healthy	DC	AHR_response_score	MIS-C	pediatric_healthy	0.01350469673648315	0.1236683634191076	-0.11016366668262445	opposes_expected_direction
GSE166489	MIS-C > pediatric_healthy	DC	KYN_metabolism_score	MIS-C	pediatric_healthy	0.0277976653763344	0.06505564673299402	-0.03725798135665962	opposes_expected_direction
GSE166489	MIS-C > pediatric_healthy	pDC	Kyn_AHR_myeloid_score	MIS-C	pediatric_healthy	-0.09789447246981181	-0.10980039793899955	0.011905925469187742	supports_expected_direction
GSE166489	MIS-C > pediatric_healthy	pDC	Kyn_AHR_axis_score	MIS-C	pediatric_healthy	0.01162751077557335	-0.04885575940501543	0.06048327018058878	supports_expected_direction
