dataset	score	n_requested	n_present	genes_present
GSE167029	KYN_metabolism_score	9	9	AADAT,AFMID,HAAO,IDO1,IDO2,KMO,KYNU,QPRT,TDO2
GSE167029	AHR_response_score	9	9	AHR,AHRR,ALDH1A1,ARNT,CYP1A1,CYP1B1,NQO1,PTGS2,TIPARP
GSE167029	AHR_regulon_proxy_score	13	13	AHR,AHRR,ALDH1A1,ARNT,CYP1A1,CYP1B1,IL1B,IRF1,NFKBIA,NQO1,PTGS2,STAT1,TIPARP
GSE167029	myeloid_inflammation_score	11	11	CCL2,CCL3,CCL4,CXCL8,IL1B,IRF1,NFKBIA,S100A8,S100A9,STAT1,TNF
GSE167029	chemotaxis_score	11	11	CCL2,CCL3,CCL4,CCL5,CCR1,CCR2,CCR5,CXCL8,CXCR4,ITGAM,ITGB2
GSE167029	antigen_presentation_score	7	7	CD74,CIITA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DRA,HLA-DRB1
GSE167029	marker_T_cell	5	5	CCR7,CD3D,CD3E,IL7R,TRAC
GSE167029	marker_CD8_T	4	4	CD8A,CD8B,GZMH,GZMK
GSE167029	marker_NK	4	4	GNLY,KLRD1,NKG7,PRF1
GSE167029	marker_B_cell	4	4	BANK1,CD79A,CD79B,MS4A1
GSE167029	marker_Plasmablast	4	4	IGHG1,JCHAIN,MZB1,XBP1
GSE167029	marker_Monocyte	5	5	FCN1,LST1,LYZ,S100A8,S100A9
GSE167029	marker_CD16_Monocyte	4	4	CTSS,FCGR3A,LST1,MS4A7
GSE167029	marker_DC	4	4	CD1C,CLEC10A,CST3,FCER1A
GSE167029	marker_pDC	4	4	GZMB,IRF7,LILRA4,TCF4
GSE167029	marker_Platelet	3	3	NRGN,PF4,PPBP
