dataset	group	severity	stage	cell_type_v0	KYN_metabolism_score__mean	KYN_metabolism_score__median	KYN_metabolism_score__std	KYN_metabolism_score__count	AHR_response_score__mean	AHR_response_score__median	AHR_response_score__std	AHR_response_score__count	AHR_regulon_proxy_score__mean	AHR_regulon_proxy_score__median	AHR_regulon_proxy_score__std	AHR_regulon_proxy_score__count	myeloid_inflammation_score__mean	myeloid_inflammation_score__median	myeloid_inflammation_score__std	myeloid_inflammation_score__count	chemotaxis_score__mean	chemotaxis_score__median	chemotaxis_score__std	chemotaxis_score__count	antigen_presentation_score__mean	antigen_presentation_score__median	antigen_presentation_score__std	antigen_presentation_score__count	Kyn_AHR_myeloid_score__mean	Kyn_AHR_myeloid_score__median	Kyn_AHR_myeloid_score__std	Kyn_AHR_myeloid_score__count	Kyn_AHR_axis_score__mean	Kyn_AHR_axis_score__median	Kyn_AHR_axis_score__std	Kyn_AHR_axis_score__count	myeloid_effector_score__mean	myeloid_effector_score__median	myeloid_effector_score__std	myeloid_effector_score__count
CNP0005824	CVB3_myocarditis	disease	acute	CD16_Monocyte	0.0019415071422070832	0.0014140419830886999	0.0041036346719720606	6	-0.025280165061313215	-0.0266841491057569	0.01514632644245846	6	0.0924455716480465	0.0737533757715074	0.052843724260918816	6	0.19683597226757665	0.17651326643406934	0.15299790408231909	6	0.28671443359989207	0.2975436282475009	0.10250883705077597	6	-0.04796350860337164	-0.05451601992960175	0.05864547242983415	6	0.29090192074322874	0.21335589179044073	0.22822317202588024	6	0.17426292955513323	0.1250504377527551	0.12501740957137997	6	0.5873018561425719	0.5623311757231056	0.3314618532943788	6
CNP0005824	CVB3_myocarditis	disease	acute	DC	-0.0007033474320342167	-0.0027353066668546503	0.004729974853205598	6	-0.027258172129717515	-0.0293388389152883	0.02067147902015818	6	0.0409918459761006	0.0229317581393653	0.045489462314110427	6	0.1068176653012441	0.07457993364231691	0.13074587451603656	6	0.050193310105471546	0.0652271146153709	0.12796498104641765	6	-0.022237041010299802	-0.06596343675370744	0.09301717569637492	6	0.11651029307176407	0.03709022244574355	0.20217283312222964	6	0.05771067809220896	0.0267202258601783	0.12457992607204409	6	0.21446736040088007	0.14723766463970667	0.36866661004330675	6
CNP0005824	CVB3_myocarditis	disease	acute	Monocyte	-0.004246495737184184	-0.00357970070734385	0.0017731655164623797	6	-0.02086330031794995	-0.0212219670454334	0.01640108197561417	6	0.08877382734091128	0.06342176065168965	0.06025068492995735	6	0.38408779836942203	0.37550234724492604	0.1795997775033539	6	0.1325092711322694	0.18734731875896585	0.13565110493749682	6	-0.05956389640184634	-0.08693853961034645	0.06419582016310335	6	0.4466765513518401	0.3967396381170446	0.26334571683913643	6	0.1407272950539854	0.09665107448349736	0.13441276539379282	6	0.6404008216750174	0.6663517456664734	0.4158543096923226	6
CNP0005824	CVB3_myocarditis	disease	acute	pDC	-0.0018483156392974664	-0.0038734312382602	0.005394596128098587	6	-0.0022098824389558155	0.00439662829543405	0.026586332371048568	6	0.07770264015794025	0.0555242795101229	0.05219689299249473	6	0.10096216038122237	0.07536969809062445	0.12683903574894204	6	-0.011180261766235036	-0.00474074042018055	0.12825973210493444	6	-0.09551949353653526	-0.1282833995116368	0.06290442395543384	6	0.19475588262055743	0.1075932408368218	0.22284529994805694	6	0.16958173448403135	0.12322889280066421	0.15640671275094964	6	0.0820284466722208	0.010220456406604711	0.3458587397096287	6
CNP0005824	IVIG_treated	treated	post_treatment	CD16_Monocyte	0.010633379562197743	0.0096778179960487	0.008163281604785813	7	-0.05790132684493338	-0.0586436350856626	0.01565119515578111	7	0.02530298172943197	0.0296419316161122	0.024003347655418877	7	-0.001125114658064528	-0.0212710038479482	0.05129018887841677	7	0.0806460662290683	0.0450327274747748	0.09343762455867871	7	0.3045616798277692	0.1121168493259252	0.37150254414507305	7	-0.006493790620259928	-0.036166040770924	0.07319453663623188	7	0.032767117858212555	0.0146507365057926	0.0739419205454317	7	0.3489364705286016	0.188744501319362	0.42120958544427695	7
CNP0005824	IVIG_treated	treated	post_treatment	DC	0.000430533799200043	-0.0008794643874735	0.005300158945679664	7	-0.07108303898688648	-0.0719198925372249	0.01411289884700492	7	-0.031683757554478546	-0.0333253845919575	0.012296968862476164	7	-0.07067630590989214	-0.0652959232994591	0.012792127722047332	7	-0.1459353603244493	-0.1489236432934162	0.034425545863689795	7	0.10563315825127437	-0.0069112161485594	0.1924726290388595	7	-0.21751575557119618	-0.2147843717753181	0.03713682527775172	7	-0.1589932170372996	-0.1691951982571942	0.037825805604600644	7	-0.1495910596419247	-0.2233236892174922	0.17887610209246432	7
CNP0005824	IVIG_treated	treated	post_treatment	Monocyte	-0.002024934130642986	-0.0020830974765312	0.0021191911755892756	7	-0.0558990423693819	-0.051748711447007	0.018068780258964863	7	0.012886552467646096	0.012803370077087	0.019881993918456315	7	0.15015729398292538	0.1660656344745927	0.05603816136599322	7	-0.07478689092602288	-0.0502356783637397	0.06377472852307114	7	0.09493753266923889	0.0246978383140092	0.1852560353910712	7	0.07099164922697135	0.0960411221143959	0.08788088232121695	7	-0.05881496996908353	-0.0327580137177446	0.05587479906142748	7	0.21002148609328075	0.2120086732448629	0.23733268675774924	7
CNP0005824	IVIG_treated	treated	post_treatment	pDC	-0.004461545726844743	-0.0060201290164055	0.0030247504964151643	7	-0.048203222374980245	-0.0540907515738341	0.017556329262756624	7	-0.005528227291742157	-0.0101956688769095	0.020812245959928068	7	-0.07455253728882894	-0.0802737375321843	0.017383940797940842	7	-0.1928410241427574	-0.1862174110303877	0.031083160263399353	7	0.003081171706080414	-0.053251098952259	0.14182309473714674	7	-0.1715108529370774	-0.1778687134054129	0.06632137143548246	7	-0.09265962665553336	-0.1163291816514227	0.06842978027322334	7	-0.2839419497395058	-0.3359771871526001	0.1350670282027481	7
CNP0005824	control	control	control	CD16_Monocyte	-0.0006610124442364	-0.0006610124442364		1	-0.0909994577385528	-0.0909994577385528		1	-0.0265456452929539	-0.0265456452929539		1	-0.0884414889364468	-0.0884414889364468		1	-0.1105554769398556	-0.1105554769398556		1	0.137215561967147	0.137215561967147		1	-0.2610441433881367	-0.2610441433881367		1	-0.1941443136219394	-0.1941443136219394		1	-0.1082465060796856	-0.1082465060796856		1
CNP0005824	control	control	control	DC	-0.0053229634412189	-0.0053229634412189		1	-0.1013383744533512	-0.1013383744533512		1	-0.073641183450352	-0.073641183450352		1	-0.1250118402136792	-0.1250118402136792		1	-0.2475251459718487	-0.2475251459718487		1	-0.1226417874082518	-0.1226417874082518		1	-0.398367286913425	-0.398367286913425		1	-0.3301285253776606	-0.3301285253776606		1	-0.5042474090199659	-0.5042474090199659		1
CNP0005824	control	control	control	Monocyte	0.0058654073572868	0.0058654073572868		1	-0.107856806324723	-0.107856806324723		1	-0.0414504963561915	-0.0414504963561915		1	-0.0053420437972703	-0.0053420437972703		1	-0.2227365621021837	-0.2227365621021837		1	-0.1218383588231339	-0.1218383588231339		1	-0.1987419289860569	-0.1987419289860569		1	-0.2181310946897131	-0.2181310946897131		1	-0.3206077792249635	-0.3206077792249635		1
CNP0005824	control	control	control	pDC	-0.0067428153479154	-0.0067428153479154		1	-0.0639048884703486	-0.0639048884703486		1	-0.0436490211418984	-0.0436490211418984		1	-0.1261868289522978	-0.1261868289522978		1	-0.2566112258652089	-0.2566112258652089		1	-0.1452869116384964	-0.1452869116384964		1	-0.3082847216130474	-0.3082847216130474		1	-0.2085047090129691	-0.2085047090129691		1	-0.5328437387170868	-0.5328437387170868		1
GSE166489	MIS-C	moderate	acute	CD16_Monocyte	0.0178509853137213	0.0178509853137213	0.01537932372367523	2	-0.00968518412275495	-0.00968518412275495	0.0023196705325237454	2	0.0828401595251078	0.0828401595251078	0.01999132869919015	2	0.30800625583222413	0.30800625583222413	0.16513026590409122	2	0.0671890482703844	0.0671890482703844	0.028755049417551283	2	1.2213953727748659	1.2213953727748659	0.5049253466567437	2	0.1233154293602857	0.1233154293602857	0.1608400021089437	2	0.08052765456792875	0.08052765456792875	0.11734023752794731	2	0.2509659890400952	0.2509659890400952	0.3032712151084048	2
GSE166489	MIS-C	moderate	acute	DC	0.0277976653763344	0.0277976653763344	0.02769578993150303	2	0.01350469673648315	0.01350469673648315	0.0452246100002004	2	0.05348009803500095	0.05348009803500095	0.033731482133417166	2	0.04934557266909666	0.04934557266909666	0.13327339108406136	2	0.06565121689830156	0.06565121689830156	0.06520731496536829	2	1.6223676579354933	1.6223676579354933	0.501703735047201	2	0.07053726084325765	0.07053726084325765	0.21078249510823965	2	0.1622750941242348	0.1622750941242348	0.3594213994226239	2	0.2343897780135473	0.2343897780135473	0.17482185095442554	2
GSE166489	MIS-C	moderate	acute	Monocyte	0.0157461581596215	0.0157461581596215	0.005148035819548938	2	0.0449354397577415	0.0449354397577415	0.03594556656884916	2	0.1522557890170782	0.1522557890170782	0.03253533352510067	2	1.053863503639576	1.053863503639576	0.015745165297519997	2	0.1376221024568524	0.1376221024568524	0.021153743965970574	2	0.6135610654943673	0.6135610654943673	0.044192913906403196	2	0.6550808797791168	0.6550808797791168	0.15317382547461916	2	0.3509096562954279	0.3509096562954279	0.1949720366140707	2	0.5628550402748607	0.5628550402748607	0.018576725077050545	2
GSE166489	MIS-C	moderate	acute	pDC	0.02473336250026575	0.02473336250026575	0.015690855042728068	2	-0.012912291615031001	-0.012912291615031001	0.0029941752134091675	2	0.02254707393743615	0.02254707393743615	0.03999830495528774	2	-0.0763610575988298	-0.0763610575988298	0.040692074067253066	2	0.048355703650237794	0.048355703650237794	0.1253413281311846	2	0.8390272965090615	0.8390272965090615	1.0150589143074136	2	-0.09789447246981181	-0.09789447246981181	0.13063948149641777	2	0.01162751077557335	0.01162751077557335	0.15025496922134657	2	-0.1277982294528445	-0.1277982294528445	0.5164369609491596	2
GSE166489	MIS-C	moderate	recovery	CD16_Monocyte	0.1396270113136198	0.1396270113136198		1	-0.0054820783206023	-0.0054820783206023		1	0.2667017834466716	0.2667017834466716		1	0.5738888590290387	0.5738888590290387		1	0.2539458929197618	0.2539458929197618		1	1.3751072743965045	1.3751072743965045		1	1.0212283468386625	1.0212283468386625		1	1.1213793362589	1.1213793362589		1	0.6758448844673431	0.6758448844673431		1
GSE166489	MIS-C	moderate	recovery	DC	0.0861831896219934	0.0861831896219934		1	0.0611883997289111	0.0611883997289111		1	0.2137785023781759	0.2137785023781759		1	0.2541482447822772	0.2541482447822772		1	0.0851157814316735	0.0851157814316735		1	2.590842932482835	2.590842932482835		1	0.7300636265095733	0.7300636265095733		1	0.9211991435557396	0.9211991435557396		1	0.7090039302749964	0.7090039302749964		1
GSE166489	MIS-C	moderate	recovery	Monocyte	0.0844804499767077	0.0844804499767077		1	0.2352459749143913	0.2352459749143913		1	0.499409999241206	0.499409999241206		1	1.4526878163630863	1.4526878163630863		1	0.5301994494802228	0.5301994494802228		1	0.9739672592053786	0.9739672592053786		1	2.0072523515904828	2.0072523515904828		1	1.91925639972102	1.91925639972102		1	1.3746106813596932	1.3746106813596932		1
GSE166489	MIS-C	moderate	recovery	pDC	0.0175618108640068	0.0175618108640068		1	-0.044148474134346	-0.044148474134346		1	0.0031445440801754	0.0031445440801754		1	-0.0975234591394575	-0.0975234591394575		1	0.0153049323239517	0.0153049323239517		1	1.255966382497894	1.255966382497894		1	-0.235301132535751	-0.235301132535751		1	-0.1591357623453723	-0.1591357623453723		1	-0.0356594064542496	-0.0356594064542496		1
GSE166489	MIS-C	severe	acute	CD16_Monocyte	0.0277335582907682	0.0351193500453047	0.01746736989809404	5	0.01281138994203838	0.0128804952733904	0.016954042824944417	5	0.18019821197602642	0.1852716879646311	0.04585302472847259	5	0.4342869597556085	0.4148243708843951	0.07736734642077146	5	0.10918410930742635	0.1010293773170951	0.08715881552735458	5	1.6982644223662593	1.527150761801261	0.451484710031806	5	0.3958539508680163	0.3779383172853253	0.06908260721380452	5	0.3696466761634403	0.3272338663173779	0.1175663385243034	5	0.5370855506389445	0.5776713060037783	0.2036391407209142	5
GSE166489	MIS-C	severe	acute	DC	0.054278250898364765	0.0338876801942076	0.07057655786193102	5	0.07155413755089383	0.0770903628700235	0.056892517063996756	5	0.13245138646391216	0.1701849690084282	0.13197942336474264	5	0.08569142453224846	0.0969871016632426	0.20760354321425922	5	0.004468224011368742	-0.0015013612400401	0.056353340604394495	5	1.2264181117025335	1.744304707334155	1.0357791998704464	5	0.4364877199225335	0.560980776033324	0.5448516297766609	5	0.6288340464510648	0.7464913153635886	0.6440342625065746	5	0.04944380781116166	0.2235384013364287	0.42348460856938835	5
GSE166489	MIS-C	severe	acute	Monocyte	0.0116068462318821	0.015279733185935	0.009809577145335624	5	0.04681251073565866	0.0508939597663466	0.03530373538671899	5	0.22120811893111383	0.2095419355658071	0.0592735637822052	5	1.2109958713284714	1.190167080838793	0.09233653984588486	5	0.2073353689034747	0.1600493669339707	0.09202100465863583	5	0.5117298451548212	0.5280293241996493	0.41968882860096196	5	0.7959284376162984	0.8170157654518604	0.1807854686700529	5	0.44629686488019116	0.5363420857809288	0.24069855440778676	5	0.7009722872745824	0.6990324475644538	0.24206089376425008	5
GSE166489	MIS-C	severe	acute	pDC	-0.00993999755599534	-0.0076234503632866	0.0083696988961963	5	-0.02359826561978102	-0.0179495607484536	0.014501226915428952	5	0.0477347279666655	0.0375720042635204	0.048129939274851215	5	-0.02907636524402918	-0.0647404515136371	0.06606510975390288	5	0.08672926460367668	0.071827878960766	0.07153411279316568	5	0.4976188510313658	0.3998213366319507	0.5742041951046515	5	-0.22486787311703424	-0.2219489490285059	0.13836671881357468	5	-0.18547848124655875	-0.1711848121256708	0.1524826709893689	5	-0.1725551881443817	-0.2450323317906301	0.18558332391410318	5
GSE166489	MIS-C	severe	recovery	CD16_Monocyte	0.0245085005184005	0.0245085005184005		1	-0.0371310028012405	-0.0371310028012405		1	0.1697533601995788	0.1697533601995788		1	0.3417522769432721	0.3417522769432721		1	0.083964491720086	0.083964491720086		1	1.1021099995776034	1.1021099995776034		1	0.2125477849779457	0.2125477849779457		1	0.179658095908496	0.179658095908496		1	0.2493514664116461	0.2493514664116461		1
GSE166489	MIS-C	severe	recovery	DC	0.0447647388471024	0.0447647388471024		1	0.1242945638119565	0.1242945638119565		1	0.2145457699526544	0.2145457699526544		1	0.137153505804322	0.137153505804322		1	0.13336294199894	0.13336294199894		1	3.1716465276147234	3.1716465276147234		1	0.6403797616968999	0.6403797616968999		1	0.8704252555076936	0.8704252555076936		1	0.8948741499907126	0.8948741499907126		1
GSE166489	MIS-C	severe	recovery	Monocyte	0.0195060007757415	0.0195060007757415		1	0.1008398920671939	0.1008398920671939		1	0.4579418503802171	0.4579418503802171		1	1.380618573684673	1.380618573684673		1	0.3250170457562968	0.3250170457562968		1	1.2548307940637042	1.2548307940637042		1	1.3245815624961808	1.3245815624961808		1	1.051412597851325	1.051412597851325		1	1.191242979687494	1.191242979687494		1
GSE166489	MIS-C	severe	recovery	pDC	0.0275379899110263	0.0275379899110263		1	-0.0484097796634306	-0.0484097796634306		1	-0.0235676756115561	-0.0235676756115561		1	-0.1439083112366048	-0.1439083112366048		1	0.0589048496255544	0.0589048496255544		1	1.7224365735204723	1.7224365735204723		1	-0.2543209574529843	-0.2543209574529843		1	-0.1572166004060679	-0.1572166004060679		1	0.1472093414438306	0.1472093414438306		1
GSE166489	adult_healthy	adult_control	control	CD16_Monocyte	0.0487726896896693	0.051319463493326	0.0045471310470239345	3	-0.044249500123067165	-0.0442689842859703	0.0006682799281730719	3	0.05881720868820794	0.0552638935404012	0.060435405215821456	3	0.14746001749070006	0.1433245215874684	0.1100883721186238	3	0.013976770097598767	0.0171197597561993	0.006977016476052993	3	1.6637173331240664	1.57195657659856	0.29047094840804855	3	0.08073430348282552	0.0857979556631935	0.13975335968577113	3	0.11817005237113665	0.127353673482824	0.12179730775649149	3	0.2465213044377199	0.2034220208945426	0.16563855817642248	3
GSE166489	adult_healthy	adult_control	control	DC	0.0643259456464398	0.0598606359051964	0.013913832922135723	3	0.0061653606413881	0.0063010671936638	0.003565549532744446	3	0.08297725779293257	0.0840281552823365	0.007797361724842239	3	0.10752557053204548	0.113747101843231	0.03299688030902219	3	0.0615277726991782	0.05813260414785	0.013048673379701085	3	2.9120251714356127	2.7359802650164395	0.3631113093607109	3	0.27866433147976977	0.2811219970428236	0.04508379310945615	3	0.40556220202107734	0.3915235197723323	0.07337561412227611	3	0.7055040352495362	0.6655306633489161	0.10404826374901234	3
GSE166489	adult_healthy	adult_control	control	Monocyte	0.029061132106167665	0.0314493225295606	0.005484341624298021	3	0.08128092277512279	0.0856935403517655	0.008713684152367337	3	0.24817340837167276	0.2265326454199838	0.04770066929433383	3	0.9305110884034428	0.9039175931388655	0.0698415591945828	3	0.17872772297544662	0.1803732829671917	0.005960621543647043	3	1.491531155734304	1.451877296706333	0.15980852129081696	3	0.8629457972928062	0.8479418575159262	0.1235458274619605	3	0.7006064270089957	0.6962408068052608	0.12509490248804134	3	0.8385010697461427	0.7997033595927384	0.0954494484518931	3
GSE166489	adult_healthy	adult_control	control	pDC	0.0337245363711186	0.0407833353901046	0.014948809481784984	3	-0.055813498892890535	-0.0625562996313341	0.018619374120364938	3	-0.0311858125886105	-0.026068081167499	0.03166647077350112	3	-0.15863202974613216	-0.1449618756344167	0.027290148874545724	3	-0.02854245074585517	-0.032324884111231	0.05207732574004704	3	1.4704849533789155	1.5036548332693258	0.1405732439511559	3	-0.2597858264211876	-0.2296949818772427	0.15267646090799059	3	-0.15584407446770568	-0.1261637718589175	0.18907687692594402	3	-0.048815027730073235	-0.0603077976178102	0.10646828324430874	3
GSE166489	pediatric_healthy	control	control	CD16_Monocyte	0.09057302517328591	0.0581001557967961	0.09379299568888456	6	0.06075070943225264	0.054558770953298294	0.07766350662566233	6	0.29722064081441474	0.2368645724449591	0.1951030835787663	6	0.5610871258306825	0.384649839031744	0.5279345520151522	6	0.27832361688915513	0.1793219300567938	0.28803852079267417	6	1.2888503381123846	1.2216529749361145	0.38031593136168007	6	0.987649780413646	0.708339100852232	1.0414207905646353	6	1.0841366128185934	0.8281997709357947	1.091824311483464	6	0.6669542455934087	0.4200112937975272	0.7479163732956687	6
