id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	lo_ci	up_ci	or	or_lci95	or_uci95	p_fdr_ivw_final5
ebi-met1400-GCST90199636	finngen_R10_I9_MYOCARD	Myocarditis	Kynurenine levels	Inverse variance weighted	5	0.365196011789701	0.142791782759392	0.0105414763462652	0.0853241175812937	0.645067905998108	1.44079639355257	1.08906999623301	1.90611646161809	0.0175691272437754
ebi-met1400-GCST90199636	finngen_R10_I9_MYOCARD	Myocarditis	Kynurenine levels	MR Egger	5	0.62336336707358	0.541740299242043	0.333265149025647	-0.438447619440824	1.68517435358798	1.86519082533048	0.645036987131335	5.39339120748538	
ebi-met1400-GCST90199636	finngen_R10_I9_MYOCARD	Myocarditis	Kynurenine levels	Weighted median	5	0.408018899669898	0.17093239118936	0.0169856041690945	0.0729914129387527	0.743046386401043	1.50383558289763	1.07572129959036	2.10233027946016	
ebi-met1400-GCST90199636	finngen_R10_I9_MYOCARD	Myocarditis	Kynurenine levels	Weighted mode	5	0.406549186402758	0.386783300740627	0.352517640938604	-0.35154608304887	1.16464445585439	1.5016269991798	0.703599425208191	3.20478323869937	
ebi-met1400-GCST90200661	finngen_R10_I9_MYOCARD	Myocarditis	X-25422 levels	Inverse variance weighted	6	-0.326923577686009	0.10525386538768	0.00189605815555531	-0.533221153845861	-0.120626001526157	0.721138852020582	0.58671203287365	0.8863653969162	0.00948029077777657
ebi-met1400-GCST90200661	finngen_R10_I9_MYOCARD	Myocarditis	X-25422 levels	MR Egger	6	-0.281004764509916	0.279835512800897	0.372110840063586	-0.829482369599675	0.267472840579842	0.755024738148786	0.436275057116048	1.3066581412767	
ebi-met1400-GCST90200661	finngen_R10_I9_MYOCARD	Myocarditis	X-25422 levels	Weighted median	6	-0.316645087347797	0.12383608473857	0.0105588485639741	-0.559363813435395	-0.0739263612601994	0.728589294802472	0.571572574999011	0.928740082572509	
ebi-met1400-GCST90200661	finngen_R10_I9_MYOCARD	Myocarditis	X-25422 levels	Weighted mode	6	-0.303635355182868	0.317861653646773	0.383323659515492	-0.926644196330543	0.319373485964807	0.738129972652416	0.395879979265035	1.37626524468189	
ebi-met1400-GCST90199813	finngen_R10_I9_MYOCARD	Myocarditis	Deoxycarnitine levels	Inverse variance weighted	5	-0.206587810386346	0.0944923051693536	0.0287942184706151	-0.391792728518279	-0.0213828922544128	0.813354837318615	0.675844182669155	0.978844100983313	0.0287942184706151
ebi-met1400-GCST90199813	finngen_R10_I9_MYOCARD	Myocarditis	Deoxycarnitine levels	MR Egger	5	-0.310817766286274	0.172397369344002	0.169185505033094	-0.648716610200518	0.0270810776279689	0.732847413207163	0.522716195097782	1.02745110268482	
ebi-met1400-GCST90199813	finngen_R10_I9_MYOCARD	Myocarditis	Deoxycarnitine levels	Weighted median	5	-0.235940022040848	0.10256001717729	0.02141952166373	-0.436957655708336	-0.0349223883733595	0.789828044786392	0.645998785192457	0.965680361372884	
ebi-met1400-GCST90199813	finngen_R10_I9_MYOCARD	Myocarditis	Deoxycarnitine levels	Weighted mode	5	-0.248678533808361	0.332954871400464	0.496643706942364	-0.90127008175327	0.403913014136549	0.779830622275236	0.406053610815861	1.49767366485496	
ebi-met1400-GCST90200680	finngen_R10_I9_MYOCARD	Myocarditis	5-acetylamino-6-formylamino-3-methyluracil levels	Inverse variance weighted	4	-0.146562985761883	0.0550621438189156	0.00777300360508163	-0.254484787646958	-0.0386411838768086	0.863671331624706	0.77531584737945	0.962095862726931	0.0175691272437754
ebi-met1400-GCST90200680	finngen_R10_I9_MYOCARD	Myocarditis	5-acetylamino-6-formylamino-3-methyluracil levels	MR Egger	4	-0.135433670526909	0.103243928816063	0.319942892545803	-0.337791771006392	0.0669244299525743	0.873337088996299	0.71334381129823	1.06921467451781	
ebi-met1400-GCST90200680	finngen_R10_I9_MYOCARD	Myocarditis	5-acetylamino-6-formylamino-3-methyluracil levels	Weighted median	4	-0.130578284098399	0.0581146213430338	0.0246458232127045	-0.244482941930745	-0.0166736262660527	0.877587789090729	0.7831093465849	0.983464609278109	
ebi-met1400-GCST90200680	finngen_R10_I9_MYOCARD	Myocarditis	5-acetylamino-6-formylamino-3-methyluracil levels	Weighted mode	4	-0.128706370537094	0.219639751586965	0.599053213152192	-0.559200283647546	0.301787542573358	0.879232096094507	0.571666051783852	1.35227389555578	
ebi-met1400-GCST90199772	finngen_R10_I9_MYOCARD	Myocarditis	1-stearoyl-GPE (18:0) levels	Inverse variance weighted	7	0.233600141183423	0.104485550368766	0.025370302216558	0.0288084624606416	0.438391819906204	1.2631393138233	1.0292274399032	1.5502121924344	0.0287942184706151
ebi-met1400-GCST90199772	finngen_R10_I9_MYOCARD	Myocarditis	1-stearoyl-GPE (18:0) levels	MR Egger	7	0.142501350043142	0.35312689884913	0.703228837600954	-0.549627371701152	0.834630071787437	1.15315463776483	0.577164838267099	2.3039615902297	
ebi-met1400-GCST90199772	finngen_R10_I9_MYOCARD	Myocarditis	1-stearoyl-GPE (18:0) levels	Weighted median	7	0.342463376894617	0.138178661568739	0.0131969399606768	0.0716332002198888	0.613293553569345	1.40841277226832	1.07426123300426	1.84650295118735	
ebi-met1400-GCST90199772	finngen_R10_I9_MYOCARD	Myocarditis	1-stearoyl-GPE (18:0) levels	Weighted mode	7	0.356403115558676	0.287937191285233	0.262034020654163	-0.207953779360381	0.920760010477733	1.42818315508847	0.81224457830827	2.511198201811	
